Path	transform_length_weighting_exponent	precision_threshold	F1
tuning/morsel/brown/9	1.25	0.01	63.07
tuning/morsel/brown/7	1.25	0.05	63.05
tuning/morsel/brown/14	1.5	0.01	63.01
tuning/morsel/brown/13	1.5	0.025	62.77
tuning/morsel/brown/12	1.5	0.05	62.65
tuning/morsel/brown/8	1.25	0.025	62.63
tuning/morsel/brown/18	2.0	0.025	62.62
tuning/morsel/brown/19	2.0	0.01	62.62
tuning/morsel/brown/2	1.0	0.05	62.52
tuning/morsel/brown/17	2.0	0.05	62.43
tuning/morsel/brown/3	1.0	0.025	62.24
tuning/morsel/brown/4	1.0	0.01	61.96
tuning/morsel/brown/11	1.5	0.075	61.76
tuning/morsel/brown/16	2.0	0.075	61.76
tuning/morsel/brown/6	1.25	0.075	61.73
tuning/morsel/brown/1	1.0	0.075	61.31
tuning/morsel/brown/5	1.25	0.1	60.37
tuning/morsel/brown/10	1.5	0.1	60.3
tuning/morsel/brown/15	2.0	0.1	60.3
tuning/morsel/brown/0	1.0	0.1	59.94
